crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-cell-filter	0.1.1	B	True	97e3acd119ca343791792547f742f4a692c145a9	clean	3	197	0	0		True	True	True	False			single-cell	rsomics-sc	product	medium	merge-into:rsomics-sc	-
rsomics-chi-square	0.1.1	B	True	824990e33382608a6e354f372aa8f375bb784c80	clean	6	808	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-chips	0.1.0	B	False	-	not-git	8	821	0	0		True	True	True	True	emboss	emboss	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-chordal	0.1.1	B	True	b555303922b487485b64b5a38f177bd15b6663e6	clean	5	434	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-circmean	0.1.1	B	True	34c774f8c4f85af31d65fc8454a5fcdcf21d9c3c	clean	5	413	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-classification-metrics	0.1.0	B	True	ba66058f060b715074df16b83526811b201aad34	clean	7	759	0	0		True	True	True	True	scikit-learn	scikit-learn	machine-learning	rsomics-ml	capability-pool	high	merge-or-core-review	-
rsomics-clipping-profile	0.1.0	B	True	786717b6c5f9decd0046ef7ad6d830747b7a3db6	clean	3	474	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-cliques	0.1.1	B	True	4b5173e721df39565b09cfe9c7858b8faaa732ba	dirty	3	474	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-closeness-vitality	0.1.1	B	True	46160394942ae19a449393d554970d1f4af48e25	clean	4	399	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-clr	0.2.1	B	True	ecbf335ae4fff31fea5a7ebfbbb86928d564e77d	clean	4	564	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-clustering-coefficient	0.1.2	B	True	1ae5d9386b151a8be58f5b7ec2f79f2401d5cdf0	clean	5	423	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-clustering-metrics	0.1.0	B	True	c98ec04921e7f130d7833144006cd7acc37b4ebf	clean	10	936	0	0		True	True	True	True	scikit-learn	scipy|scikit-learn	machine-learning	rsomics-ml	capability-pool	high	merge-or-core-review	-
rsomics-cmh	0.1.1	B	True	fcd53a4f4e645d7cdc34edb0adf76e796168c997	clean	8	1135	0	0		True	True	True	True	statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
