crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-fasta-fx2tab	0.1.4	B	True	40031f6915b2a54c4cf82d3011aec8a66d064b39	clean	3	469	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-index	0.2.1	B	True	fb86ed124f069141b2934641f1291a8adc83a4be	clean	6	662	0	0		True	True	True	True	samtools	samtools	sequence-indexing	rsomics-index	product	medium	merge-into:rsomics-index	-
rsomics-fasta-locate	0.1.6	B	True	24dd8445aaddce95924dce035e88b064db17e780	clean	3	1030	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-mask	0.1.2	B	True	4bda5f191c91f9bddefcc6c58a8d5ebb16475f69	clean	3	203	0	0		True	True	True	True	bedtools	bedtools	intervals	rsomics-bed	product	medium	merge-into:rsomics-bed	-
rsomics-fasta-n50	0.1.4	B	True	85f63610005ebf79f2b36bba9d46aa8e3bcbf109	clean	3	248	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-orf	0.1.0	B	True	fdf6c17177e98bed30626b37571cdd22acf38f20	clean	8	1479	0	0		True	True	True	True	emboss	emboss	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-sliding	0.1.4	B	True	f100f99e420ef1f1ca676fb79b4ed44e4cd54848	clean	3	298	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-stats	0.4.7	B	True	57106ebba455a7eff5ce9b0958826965166dd4eb	clean	5	807	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-subseq	0.1.4	B	True	2f0bc3e920a429c36af7a1fb5cb45b7fdf47c802	clean	3	306	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-translate	0.1.3	B	True	095837669bcf0520a68df496cfc589cdffcee051	clean	3	330	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-utils	0.1.3	B	True	93e81c2ab88524f97bdaaab6f34105743d798b96	clean	29	1469	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	keep-as-consolidation-seed	-
rsomics-fasta-validate	0.1.1	B	True	93da2fdc4f8596899e76822271ab6a718df519e6	clean	3	185	0	0		True	True	True	True	seqkit|biopython	seqkit|biopython	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fastp	0.1.1	B	True	2d1d68d25d10c087aae4548b922b9b1b4e9b80ad	clean	8	822	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-complexity	0.1.0	B	True	22948ed73a0f1b1b26cba7494b25c79fb8067811	clean	3	223	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-correct	0.1.0	B	True	e97a31dce4210655c5dc2cc61d2d3850524b8623	clean	6	1498	0	0		True	True	True	True			read-preprocessing	rsomics-fastq-preprocess	product	medium	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-dedup	0.1.1	B	True	f042c02e5df3702af63d4678786e56dfd80ab5db	clean	5	414	0	0		True	True	True	True	seqkit|fastp	seqkit|fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-downsample	0.1.2	B	True	504a6acf1d80f72226daf6ed7d230086737bed05	clean	3	147	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fastq-filter	0.1.1	B	True	bdc2824778ed1b8fc185b173d841f63d8b9e6759	clean	3	762	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-merge	0.1.1	B	True	05e23369872f42f7418171f8a3a1ba0c5066b425	clean	3	577	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-pair	0.1.2	B	True	606923e1d993dfc957fd235e545e62a431ed6056	clean	3	365	0	0		True	True	True	True	bbduk|seqkit	bbduk|seqkit	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-quality	0.1.1	B	True	711e32cac0f45072d038171f42d6d4a831112cff	dirty	2	396	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-sample	0.1.3	B	True	9f9b8ae14ca8264f9d610c365afa9c3ae75f4998	dirty	3	485	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fastq-split	0.1.0	B	True	b43d0d5b226704543f20d05fad0420acb1a7d22f	clean	3	563	0	0		True	True	True	True	fastp	seqkit|fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-stats	0.1.2	B	True	bd19eaa7ddcd43430c09fa4ecd735308931496cc	clean	5	871	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fastq-trim	0.4.6	B	True	30b07d34d02864518efc02f1e7a5f881769fcd3f	clean	8	1773	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-umi	0.2.0	B	True	b8ef1d0bbec1a0f8156e8b634e95c5585bad221e	clean	7	836	0	0		True	True	True	True	fastp	fastp	read-preprocessing	rsomics-fastq-preprocess	product	high	merge-into:rsomics-fastq-preprocess	-
rsomics-fastq-utils	0.1.3	B	True	7f0551d463977e6343af3c9477879799d1bcbc81	clean	21	1117	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	keep-as-consolidation-seed	-
rsomics-fastq-validate	0.1.1	B	True	69f6af79d6af37a6384ac3af3938062d11c60ae7	clean	3	191	0	0		True	True	True	True			sequence-utilities	rsomics-seq	product	medium	merge-into:rsomics-seq	-
rsomics-fastqc	0.1.0	B	True	8ea4621251d988d68cd900e51e47a404e2c6cdfc	clean	17	2377	0	0		True	True	True	True	fastqc	fastqc	read-preprocessing	rsomics-fastq-qc	product	high	merge-into:rsomics-fastq-qc	-
rsomics-fastx-convert	0.1.1	B	True	6ac272a61a7017ce0bf26b2209fbea113fb561a1	clean	2	356	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fastx-sort	0.1.0	B	True	ab7377cd840d2ca97d659a15cc404a90b91f9e69	clean	5	446	0	0		True	True	True	True	vsearch	vsearch	metagenomics	rsomics-metagenomics	product	medium	merge-into:rsomics-metagenomics	-
rsomics-fcluster	0.1.2	B	True	b5c918fa42a0b25b1bb7dcc4efdc677fb43ea69f	clean	5	652	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-featurecounts	0.1.2	B	True	5571384b250761eaf7368a124dca6a5d05962f64	clean	8	802	0	0		True	True	True	True	featurecounts	featurecounts	bulk-expression	rsomics-count	product	high	merge-into:rsomics-count	-
rsomics-filter-by-expr	0.1.2	B	True	451580a86a4c36de536605fc08037f2c4b1b83c7	clean	3	467	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-find-peaks	0.1.0	B	True	20c65c54462aaf1f92dd86242e8f9e7ff2afb3a7	clean	5	900	0	0		True	True	True	True	scipy	scipy	epigenomics	rsomics-peak	product	high	merge-into:rsomics-peak	-
rsomics-fligner	0.1.1	B	True	2eb9f43e357f56c035f46f7c7a3ff7ee12512021	clean	7	936	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-fm-index	0.1.0	A	True	3f81d6b52fa870f48ae88742b4f21b24015be807	dirty	1	192	1	1	rsomics-index	False	False	False	False			foundation	rsomics-fm-index	foundation	high	internalize-or-merge-review	-
rsomics-fm-search	0.1.1	B	True	6daef14ea73d9510f9d5060bd604ed0795686605	clean	3	166	0	0		True	True	True	False			sequence-indexing	rsomics-index	product	medium	merge-into:rsomics-index	-
rsomics-fpkm-count	0.1.0	B	True	370954dae656dce4d1f5a60fdd121bca57b0baa8	clean	7	570	0	0		True	True	True	True	rseqc	rseqc	bulk-expression	rsomics-count	product	medium	merge-into:rsomics-count	-
rsomics-fqgz	0.1.0	A	True	c5e7de12d21e72cdcc3b62f84302653c34b5dc54	dirty	1	171	6	1	rsomics-fastq-preprocess	False	False	False	True	seqkit|fastp	seqkit|fastp	foundation	rsomics-fqgz	foundation	high	internalize-or-merge-review	-
rsomics-fragment-size	0.1.1	B	True	cb208d2c427d19c0e5c7cb4b4388adb629d81d7b	clean	3	394	0	0		True	True	True	True	samtools|deeptools|picard	samtools|deeptools|picard	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-freesasa	0.2.1	B	True	53fe8beaa06de9c7124342adc67e415b5c7425dc	clean	12	1864	0	0		True	True	True	True	freesasa	freesasa	protein-structure	rsomics-structure	product	high	merge-into:rsomics-structure	-
rsomics-freq-hist	0.1.0	B	True	e4ab957cab104f709fa33b22e86622c98c64bc5e	clean	5	550	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-friedman-test	0.1.1	B	True	68f78d76f141d78fdfcf559c3486fc50395faab6	clean	6	609	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-gaussian-filter	0.1.1	B	True	75ef560d536f17ebff365b1ab53ede94cd27d610	clean	2	541	0	0		True	True	True	True	scipy|scikit-image	scipy|scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-gc-skew	0.1.0	B	True	73a28209a68fb2c2b079cf6e8b382faf52b17feb	clean	3	217	0	0		True	True	False	True	biopython	biopython	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-gc-windows	0.1.1	B	True	e4af5a260ff3107f44a1346cf8bbe26bf8f51a9c	clean	3	172	0	0		True	True	True	False	bedtools	bedtools	sequence-utilities	rsomics-seq	product	medium	merge-into:rsomics-seq	-
rsomics-gc123	0.1.0	B	True	dfbe702c2bebc8c52a6a33c6142ab35b36ed0c04	clean	3	246	0	0		True	True	True	True	biopython	biopython	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-genebody-coverage	0.1.0	B	True	1813f1f6e7504be12c4dcd8e8d6f6e9d180ff482	clean	3	495	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-generalized-degree	0.1.2	B	True	7319ee6be30e58417f86a4db3e82140fcfe3ab00	dirty	3	328	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-gff-utils	0.1.1	B	True	b8d74faf579168ad10cd833076e0f587ccb39521	clean	31	1470	0	0		True	True	True	False			annotation	rsomics-annotation	product	medium	keep-as-consolidation-seed	-
rsomics-glcm-texture	0.1.0	B	True	c0ad7eb7bdd9a9ba1e3453029875d40a795c528c	clean	5	462	0	0		True	True	False	True	scikit-image	scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-global-efficiency	0.1.1	B	True	a3910afc5a5e21692bb0d4b5784406a66d429814	clean	2	186	0	0		True	True	True	True	networkx	scanpy|networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-gmean	0.1.0	B	True	92ebe18fe3da1744965d2f1cbfaeb8c89b0bec77	clean	5	526	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-goldfeld-quandt	0.1.1	B	True	f45d3beaa2e386a2c1c0a596cc7cf0bdbb488328	clean	7	927	0	0		True	True	True	True	statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-gradient-trajectory	0.1.2	B	True	38358d46d0ce0fb1469e46be22bcd495c4abe9ce	clean	8	1403	0	0		True	True	False	True	scikit-bio	scipy|scikit-bio|biopython	ecology	rsomics-ecology	product	high	merge-into:rsomics-ecology	-
rsomics-graph-assortativity	0.1.2	B	True	bf51b0dc6a9ae197da656a34962c9145db1b3b91	clean	5	361	0	0		True	True	True	True	networkx	scipy|networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-graph-centrality	0.1.2	B	True	d5eb55a8073888f98014467e901135828295795f	clean	6	386	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-graph-components	0.1.2	B	True	2cdf0681ef4f6f738ea19e7fa676c60595590775	clean	6	379	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-graph-cuts	0.1.2	B	True	5af7432326704a75c0ed78a6c0582f50aa5d544c	dirty	3	489	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-graph-properties	0.1.2	B	True	1277cd19b364664918b4616fdb3ad58da08b5e57	dirty	3	385	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-graph-shortest-paths	0.2.2	B	True	c0cde4b30e158fb0a9cca7a41948577d93f31442	clean	5	600	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-greedy-color	0.1.2	B	True	b3ba8d03991a43eb38ade60b80b9e4b916a3cdbd	clean	2	333	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-grey-morphology	0.1.1	B	True	3415c2cd6d0cd3b28f2b2d49fd11e5b52d518a9f	clean	2	374	0	0		True	True	False	True	scikit-image	scipy|scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-group-centrality	0.1.2	B	True	cfd96889d516816052a4aa1177a78fbd79484ec4	clean	5	751	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-haplotype-diversity	0.1.0	B	True	2a5fb064678854045444b3f82d9ee3705ae82c3d	clean	6	825	0	0		True	True	True	True	scikit-allel	scikit-allel	population-genetics	rsomics-popgen	product	high	merge-into:rsomics-popgen	-
rsomics-hausdorff	0.1.1	B	True	b3d65b166030492e7dfa3866202b9e309f02e114	clean	2	346	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-help	0.4.0	A	True	c615aa8b85224055faad57c86abd068aded89d06	clean	2	172	317	33	rsomics-annotation|rsomics-bam|rsomics-bed|rsomics-call|rsomics-cnv|rsomics-composition|rsomics-count|rsomics-de-volcano|rsomics-deseq|rsomics-ecology|rsomics-edger|rsomics-fastq-preprocess|rsomics-fastq-qc|rsomics-index|rsomics-limma|rsomics-metagenomics|rsomics-methyl|rsomics-minimap2|rsomics-model|rsomics-peak|rsomics-phylo|rsomics-plink|rsomics-popgen|rsomics-rnaseq-qc|rsomics-sample-sheet|rsomics-sc|rsomics-seq|rsomics-signal|rsomics-sketch|rsomics-stats|rsomics-structure|rsomics-table|rsomics-vcf	False	False	False	False			foundation	rsomics-help	foundation	high	keep-core-candidate	-
rsomics-het-tests	0.1.1	B	True	f9cdc7aa4375f616031c32b4f2b0f82581c11b48	clean	10	1231	0	0		True	True	True	True	statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-hits	0.1.1	B	True	35758ff3dec41eeea572e87766c5207e256e2dd0	dirty	2	329	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-hmm	0.1.0	A	True	6bac6d996612ae636d73c720688d272cc0edaefd	clean	1	251	1	1	rsomics-model	False	False	False	False			foundation	rsomics-hmm	foundation	high	internalize-or-merge-review	-
rsomics-hmm-decode	0.1.1	B	True	cc870858dcc8205797c90e65c67b84b99208bd42	clean	3	168	0	0		True	True	True	False			sequence-models	rsomics-model	capability-pool	medium	merge-or-core-review	-
rsomics-hommola	0.1.1	B	True	9af268ffe34a8add00edef5849844e1d6e391ae4	clean	6	743	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	phylogenetics	rsomics-phylo	product	high	merge-into:rsomics-phylo	-
rsomics-icc	0.1.0	B	True	031cc33cbc7dcad2510b5fba8b0f3d6be12c4e20	clean	6	950	0	0		True	True	True	True	scipy|statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-igzip	0.1.0	A	True	4c92ddfb3cd68f9510b611c4f63338e674ef2ccd	clean	2	465	0	0		False	False	False	True	fastp	fastp	foundation	rsomics-igzip	foundation	high	internalize-or-merge-review	-
rsomics-ilr	0.2.1	B	True	799ab17a5d0f30a2d5c76db61803da4af27f3cae	clean	4	660	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-ilr-basis	0.2.0	B	True	c2c5e59f98e34d5a373c2ea2cd604e0ecc2082bb	clean	7	962	0	0		True	True	False	True	scikit-bio	scikit-bio	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-image-entropy	0.1.0	B	True	d13fd861bd5f84aeec6897b93b63230f55915f5d	clean	3	159	0	0		True	True	False	True	scikit-image	scipy|scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-image-thresholds	0.1.2	B	True	b428d9b8d19324825a7c4448000a0a9e132ec5ce	dirty	4	807	0	0		True	True	False	True	scikit-image	scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-infercnv	0.1.0	B	True	393882653ea27e65f38ec6997f8f26e91d04927b	clean	3	409	0	0		True	True	True	True	infercnv	infercnv	single-cell	rsomics-sc	product	high	merge-into:rsomics-sc	-
rsomics-inner-distance	0.1.1	B	True	66d0e334493a54593ba37e67171e6ed04f5d3d5b	clean	7	817	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-insertion-profile	0.1.0	B	True	cd55b1a4ebb3f2cf12141dfc4d9c856768b714ac	clean	3	509	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-intervals	0.3.0	A	True	491b14c0d43b58371723488dd8a9482d55a16678	clean	6	1311	11	4	rsomics-bed|rsomics-peak|rsomics-signal|rsomics-vcf	True	False	False	False	bedtools	bedtools	foundation	rsomics-intervals	foundation	high	keep-core-candidate	-
rsomics-jarque-bera	0.1.1	B	True	b433ce0ceddcf37ce9b9e7ea9159121878fc4e11	clean	5	464	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-junction-saturation	0.1.0	B	True	38320bfeb2d35355160cc7cb3ee24d5b1381bde1	clean	3	494	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-k-clique-communities	0.1.0	B	True	f4dd8c73ca05697472825005b036becce650ffc1	clean	3	367	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-k-truss	0.1.1	B	True	6503e03188bf31339cd3656a78c736daa58f18d5	clean	2	287	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-kappa	0.1.0	B	True	2d11152037e1a6d494840ec77332147c1bc05d4a	clean	8	1102	0	0		True	True	True	True	statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-katz-centrality	0.1.2	B	True	4014f0eb448d03f0e7e16bfbb6dbed494010544e	clean	2	340	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-kbins	0.1.1	B	True	65f6012a8d3a0790759b690f98873b9157ac80ca	clean	6	965	0	0		True	True	True	True	scikit-learn	scikit-learn	machine-learning	rsomics-ml	capability-pool	high	merge-or-core-review	-
rsomics-kendall-tau	0.1.0	B	True	768fe17f9b2b2e2abe0771c187d03d35928b2265	clean	5	983	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-kinship	0.1.1	B	True	ce5f879d59fd8277f54aed396e2cc6e8c66e46d8	clean	7	899	0	0		True	True	True	True	plink	plink	population-genetics	rsomics-plink	product	high	merge-into:rsomics-plink	-
rsomics-kmer	0.2.1	A	True	4258ac881119bcee69a3541119bb3e544500743a	clean	6	925	6	4	rsomics-debruijn|rsomics-fastq-preprocess|rsomics-metagenomics|rsomics-sketch	False	False	True	False			foundation	rsomics-kmer	foundation	high	keep-core-candidate	-
rsomics-kmer-dist	0.1.1	B	True	7eb179076a1bb6ecdbfc85e9624e96e5a1060e7b	clean	3	239	0	0		True	True	True	False			metagenomics	rsomics-sketch	product	medium	merge-into:rsomics-sketch	-
rsomics-kpss-test	0.1.2	B	True	ef13d868403b6ad6956004db09c73a712e089452	dirty	3	387	0	0		True	True	True	True	statsmodels	statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-kraken-report	0.1.2	B	True	bf1e47d687ff3fe7bd0d87535819ffcacd0bf22b	clean	3	192	0	0		True	True	True	False			metagenomics	rsomics-metagenomics	product	medium	merge-into:rsomics-metagenomics	-
rsomics-kruskal-wallis	0.1.1	B	True	746349f324dd2152947ff90ebd5709e7eb3e10e4	clean	6	566	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-ks-test	0.1.0	B	True	7ef6858a17e75f1c64492e762d9623193887892e	clean	8	1839	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-kstat	0.1.0	B	False	-	not-git	0	0	0	0		False	False	False	False	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-label-stats	0.1.1	B	True	b96c82ce2fc2c77dc74044ec66410e1df891b26c	clean	2	502	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-ld-matrix	0.1.3	B	True	e1b691e400e03a04d0c5560457f4b60af9b2534d	clean	3	362	0	0		True	True	True	True	scikit-allel|plink|vcftools	scikit-allel|plink|vcftools	population-genetics	rsomics-plink	product	high	merge-into:rsomics-plink	-
rsomics-levene-test	0.1.0	B	True	815fa468f96dc99ede619a30788e1d646b5687ea	clean	5	795	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-liftover	0.1.0	B	True	d7948c5f8753e27ae7aa770945ce33e307c09983	clean	3	302	0	0		True	True	True	True	liftover	liftover	coordinate-conversion	rsomics-liftover	product	high	keep-product-candidate	-
rsomics-limma-array-weights	0.1.2	B	True	546aefb55e51d2fad7a8586ae3f8aaddfe99665d	clean	5	619	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-decide-tests	0.1.2	B	True	44bb7e715e66f24babbc574c63eb668292fc0e56	clean	5	682	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-diff-splice	0.1.2	B	True	dffbb49cae01e453af00ecc9c3c93f8d2af65ee3	clean	7	1346	0	0		True	True	True	True	limma	edger|limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-duplicate-correlation	0.1.2	B	True	146dbc5f2cd793b250b54013f3a059940d2b9e5c	clean	6	772	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-ebayes	0.1.4	B	True	8fbfa0b8fcb9444dcf5740a4c4feab7a398e9c30	clean	7	1164	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-fry	0.1.0	B	False	-	not-git	8	1146	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-genas	0.1.0	B	False	-	not-git	8	1079	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-proptruenull	0.1.2	B	True	9299ec337f5b3eeb952f144ffe6bd994061ead63	clean	4	545	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-squeeze-var	0.1.2	B	True	f95ae44a3a4511569335c74c0c0446f9eee5eafb	clean	6	672	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-treat	0.1.3	B	True	37f3790d5ef3670ce4bbb8d5ed39b4de43eef955	clean	7	997	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-limma-vooma	0.1.2	B	True	b96f4fdc423d33418a5f26f1ef38f9a034c10738	clean	6	799	0	0		True	True	True	True	limma	limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-link-prediction	0.2.2	B	True	68a99e7bb65df0d783ef492361f3e44bd216b5b5	dirty	2	542	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-linkage	0.1.0	B	True	073b3fe829a280744a82077cd3281e418e4dd32f	clean	10	924	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-linkage-stats	0.1.1	B	True	a21e29be51b47a4e625454d067116dcc9cc264e4	clean	3	518	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-linregress	0.1.1	B	True	2be37fcc35c0a6b5dabb9c6d67b444c75c38b417	clean	7	938	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-load-centrality	0.1.1	B	True	f9a1447e542775e08d12f971ba49950c5839cb3c	clean	4	380	0	0		True	True	True	True	networkx	scanpy|networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
